[2016-05-19 11:34:39.349502]; Init ; Opening COM port ;
[2016-05-19 11:34:39.365126]; Init ; COM port could not be opened, no UART communication available! ; 
[2016-05-19 11:34:39.396377]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-19 11:34:39.412002]; buildUI ; ; 
[2016-05-19 11:34:41.152923]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-19 11:34:41.184167]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-19 11:34:41.317482]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-19 11:34:41.333646]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-19 11:34:41.568037]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-19 11:34:41.600101]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-19 11:34:44.952747]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x01\r\x01\r\x16Z')
[2016-05-19 11:34:44.984028]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x01\r\x01\r\x16Z')
[2016-05-19 11:34:45.265248]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x01\x0f\x01\x0f\x16Z')
[2016-05-19 11:34:45.359031]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x01\x0f\x01\x0f\x16Z')
[2016-05-19 11:34:45.452754]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x01&\x01&\x16Z')
[2016-05-19 11:34:45.484000]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x01&\x01&\x16Z')
[2016-05-19 11:34:45.868312]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x01D\x01D\x16Z')
[2016-05-19 11:34:45.915161]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x01D\x01D\x16Z')
[2016-05-19 11:34:46.166954]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x01M\x01M\x16Z')
[2016-05-19 11:34:46.229457]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x01M\x01M\x16Z')
[2016-05-19 11:34:46.479456]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x01D\x01D\x16Z')
[2016-05-19 11:34:46.526358]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x01D\x01D\x16Z')
[2016-05-19 11:34:46.729468]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x18\x00\x18\x16Z')
[2016-05-19 11:34:46.807609]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00\x18\x00\x18\x16Z')
[2016-05-19 11:34:46.916961]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00#\x00#\x16Z')
[2016-05-19 11:34:46.963849]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00#\x00#\x16Z')
[2016-05-19 11:34:47.120086]; PushCmd ; inData ; bytearray(b"\xa5\x05\x13\x00\'\x00\'\x16Z")
[2016-05-19 11:34:47.229484]; SendCmds ; command ; bytearray(b"\xa5\x05\x13\x00\'\x00\'\x16Z")
[2016-05-19 11:34:47.323225]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00*\x00*\x16Z')
[2016-05-19 11:34:47.370082]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00*\x00*\x16Z')
[2016-05-19 11:34:47.807596]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00+\x00+\x16Z')
[2016-05-19 11:34:47.870138]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00+\x00+\x16Z')
[2016-05-19 11:34:47.995112]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x000\x000\x16Z')
[2016-05-19 11:34:48.041973]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x000\x000\x16Z')
