[2016-05-19 11:37:19.111696]; Init ; Opening COM port ;
[2016-05-19 11:37:19.111696]; Init ; COM port could not be opened, no UART communication available! ; 
[2016-05-19 11:37:19.111696]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-19 11:37:19.127382]; buildUI ; ; 
[2016-05-19 11:37:20.998994]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-19 11:37:21.045868]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-19 11:37:21.170846]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-19 11:37:21.217715]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-19 11:37:21.328966]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-19 11:37:21.360230]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-19 11:37:27.630482]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x01\x02\x12Z')
[2016-05-19 11:37:27.661744]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x01\x02\x12Z')
[2016-05-19 11:37:27.880487]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x01\x02\x12Z')
[2016-05-19 11:37:27.927378]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x01\x02\x12Z')
[2016-05-19 11:37:28.698164]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x01UEZ')
[2016-05-19 11:37:28.729415]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x01UEZ')
[2016-05-19 11:37:31.694063]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x01S\x01S\x16Z')
[2016-05-19 11:37:31.803453]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x01S\x01S\x16Z')
[2016-05-19 11:37:31.912820]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00(\x00(\x16Z')
[2016-05-19 11:37:31.944064]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00(\x00(\x16Z')
[2016-05-19 11:37:33.169171]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x008\x008\x16Z')
[2016-05-19 11:37:33.200420]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x008\x008\x16Z')
[2016-05-19 11:37:33.325435]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x009\x009\x16Z')
[2016-05-19 11:37:33.372283]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x009\x009\x16Z')
[2016-05-19 11:37:33.622314]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00<\x00<\x16Z')
[2016-05-19 11:37:33.669187]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00<\x00<\x16Z')
[2016-05-19 11:37:35.950058]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x01%\x01%\x16Z')
[2016-05-19 11:37:35.981309]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x01%\x01%\x16Z')
[2016-05-19 11:37:36.075058]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x01&\x01&\x16Z')
[2016-05-19 11:37:36.106308]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x01&\x01&\x16Z')
[2016-05-19 11:37:36.246940]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x01+\x01+\x16Z')
[2016-05-19 11:37:36.293801]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x01+\x01+\x16Z')
